Age (in months)	3rd Percentile Length (in centimeters)	5th Percentile Length (in centimeters)	10th Percentile Length (in centimeters)	25th Percentile Length (in centimeters)	50th Percentile Length (in centimeters)	75th Percentile Length (in centimeters)	90th Percentile Length (in centimeters)	95th Percentile Length (in centimeters)	97th Percentile Length (in centimeters)
0	45.09488	45.57561	46.33934	47.68345	49.2864	51.0187	52.7025	53.77291	54.49527
0.5	47.46916	47.96324	48.74248	50.09686	51.68358	53.36362	54.96222	55.96094	56.62728
1.5	50.95701	51.47996	52.29627	53.69078	55.28613	56.93136	58.45612	59.38911	60.00338
2.5	53.62925	54.17907	55.03144	56.47125	58.09382	59.74045	61.24306	62.15166	62.74547
3.5	55.8594	56.43335	57.31892	58.80346	60.45981	62.1233	63.62648	64.52875	65.11577
4.5	57.8047	58.40032	59.31633	60.84386	62.5367	64.22507	65.74096	66.64653	67.23398
5.5	59.54799	60.16323	61.10726	62.6759	64.40633	66.12418	67.65995	68.57452	69.16668
6.5	61.13893	61.77208	62.7421	64.35005	66.11842	67.8685	69.42868	70.35587	70.95545
7.5	62.60993	63.25958	64.25389	65.89952	67.70574	69.48975	71.07731	72.01952	72.62835
8.5	63.98348	64.64845	65.66559	67.34745	69.19124	71.01019	72.62711	73.58601	74.20532
9.5	65.2759	65.9552	66.99394	68.7107	70.59164	72.44614	74.09378	75.0705	75.70118
10.5	66.49948	67.19226	68.25154	70.00202	71.91962	73.80997	75.48923	76.4846	77.12729
11.5	67.66371	68.36925	69.44814	71.23128	73.18501	75.11133	76.82282	77.83742	78.49257
12.5	68.77613	69.4938	70.59149	72.40633	74.39564	76.35791	78.10202	79.13625	79.80419
13.5	69.8428	70.57207	71.68784	73.53349	75.55785	77.55594	79.3329	80.38705	81.06801
14.5	70.86874	71.60911	72.74233	74.61799	76.67686	78.71058	80.5205	81.59475	82.28891
15.5	71.85807	72.60914	73.75924	75.66416	77.75701	79.82613	81.66903	82.7635	83.47098
16.5	72.81433	73.57571	74.74217	76.67568	78.80198	80.90623	82.78208	83.89683	84.6177
17.5	73.74047	74.51184	75.6942	77.65565	79.81492	81.95399	83.86269	84.99774	85.73205
18.5	74.63908	75.42012	76.61797	78.60678	80.79852	82.97211	84.91353	86.06887	86.81663
19.5	75.51237	76.30282	77.51576	79.53138	81.75512	83.96292	85.93689	87.11249	87.8737
20.5	76.36229	77.16191	78.38958	80.4315	82.68679	84.92846	86.93481	88.13061	88.90526
21.5	77.19056	77.9991	79.2412	81.30893	83.59532	85.87054	87.90908	89.125	89.91305
22.5	77.99868	78.81595	80.07216	82.16525	84.48233	86.79077	88.86127	90.09723	90.89866
23.5	78.78801	79.61381	80.88385	83.00187	85.34924	87.69056	89.79282	91.04873	91.86347
24.5	79.55974	80.39391	81.67752	83.82007	86.19732	88.57121	90.70499	91.98074	92.80876
25.5	80.33998	81.18804	82.49318	84.67209	87.09026	89.50562	91.67718	92.97574	93.81864
26.5	81.11332	81.97223	83.29459	85.5036	87.95714	90.40982	92.61658	93.93693	94.79426
27.5	81.87334	82.74084	84.07717	86.31151	88.79602	91.28258	93.52227	94.86339	95.73464
28.5	82.61506	83.48951	84.83741	87.09346	89.60551	92.12313	94.39371	95.75464	96.63928
29.5	83.33473	84.21496	85.57273	87.84783	90.38477	92.93113	95.23082	96.61061	97.50808
30.5	84.02972	84.91494	86.28139	88.57362	91.13342	93.70662	96.03385	97.43164	98.34139
31.5	84.69837	85.58809	86.96242	89.27042	91.85154	94.45005	96.80343	98.2184	99.13993
32.5	85.33987	86.23379	87.6155	89.93835	92.53964	95.16218	97.54052	98.97193	99.90473
33.5	85.95413	86.85208	88.24089	90.57795	93.19854	95.84411	98.24636	99.69353	100.6372
34.5	86.54167	87.44359	88.83932	91.1902	93.82945	96.49721	98.92246	100.3848	101.3388
35.5	87.10349	88.00937	89.41196	91.77639	94.43382	97.12307	99.57056	101.0475	102.0116
